,id,time,title,content,info,available
0,336,2018-06-03,[5.05]《战场女武神4》中文版（含1.01）,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1IOk6EHu3Cd-h1bxSOPcQwQ  密码: tmn8感谢本站热心网友 肥肥的喵 辛苦DUMP和分享。带恢复记录。转载请注明：www.ksohu.com，谢谢。英文名称：Senjou no Valkyria 4 / Valkyria Chronicles 4游戏原名：戦場のヴァルキュリア4游戏语言：中文(非国行)开发厂商：Sega发行厂商：Sega发售日期：2018-03-21本作的时间设定在架空的1935年第二次欧洲大战时期，欧洲大陆的版图一分为二，一边是共和国国家联邦组织「联邦」；另一边则是君主专制国家「帝国」。拥有压倒性物资数量的帝国让联邦陷入了苦战，为了扭转劣势，联邦发动了反攻作战突袭帝国首都，名为「北十字星作战」。隶属联邦军E小队的库罗德也随军出征，在与伙伴间的羁绊、被托付的心愿，以及各种牺牲之下，达成目标的意志备受考验。官方表示，新作手绘插图般的独特绘图系统「CANVAS」，以及融合战略与行动的崭新战斗系统「BLiTZ」都以最新技术再次进化！负责角色设计的本庄雷太，以及负责游戏配乐的崎元仁等系列作耳熟能详的人物也参与了本次制作！󰄼 赞 22 赏󰄯 分享,其他类型,True
1,335,2018-06-03,《啪嗒砰 / 战鼓啪打碰》繁体中文版（含1.01）,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1yAgCKnm4Jzfu-0NJzEVVLQ  密码: g2dt感谢本站热心网友 肥肥的喵 再次分享。这个为喵喵Dump的，和之前网传的不是一个作者。转载请注明来源：www.ksohu.com，谢谢。󰄼 赞 11 赏󰄯 分享,其他类型,True
2,334,2018-06-03,[5.05]《加速世界VS刀剑神域 千年之黄昏》港版 繁体中文版（含2.03补丁）,您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/10oQiNMWTOFBXMJIt_mcuug  密码: 8uew感谢本站热心网友 肥肥的喵 再次分享。转载请注明来源：www.ksohu.com，谢谢。女武神4也上传ＯＫ了。英文名称：Accel World vs. Sword Art Online - Millennium Twilight游戏原名：アクセル・ワールドVSソードアート・オンライン 千年の黄昏（ミレニアム・トワイライト）游戏语言：中文(非国行)开发厂商：BNEI发行厂商：BNEI发售日期：2017-04-06本作是将轻小说作家川原砾所写的两大代表作品《加速世界》与《刀剑神域》同时交错于单一作品的动作角色扮演。󰄼 赞 5 赏󰄯 分享,角色扮演,True
3,333,2018-06-03,《乐高都市 卧底风云》中文版,来自极模论坛 gz死神bleach  进入游戏提示系统存档出错，选择修复覆盖即可。系统语言为繁体，港中。解压密码： gz死神bleach链接：https://pan.baidu.com/s/1WQn1yk0ONKfcohhfbZYqxA  密码：5uaq,动作类,True
4,332,2018-06-03,[5.05]《地平线 年度版》港版 繁体中文版（含1.52升级补丁）,"分享者：老玩家75压缩包带恢复记录,下载错误请自行修复,不会的自行百度链接：https://pan.baidu.com/s/1sMyrmQR-eOJLE58XEPXpxQ  密码：g62f",动作类,True
5,331,2018-06-03,[5.05] 生化危机4 中文版,[5.05]  生化危机4 中文版  自DUMP链接：https://pan.baidu.com/s/1YIi7YNbtw6zKi3ryd-pmJw密码：goji感谢毅神话分享。,射击类,True
6,330,2018-06-03,《中土世界 战争之影》简体中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1dFlFU8Ie3RaATpfwrUnw1Q  密码：Bn66转自@chiqinxi󰄼 赞 23 赏󰄯 分享,动作类,True
7,329,2018-06-02,[5.05]《街霸5 街机》中文版,您已评论，请查看如下隐藏内容哦！4.05系统可运行，理论上5.05也可运行未测试，如果出现存档损坏删除在重新建立即可。链接: https://pan.baidu.com/s/1d_RsjCSurSm3P_vQC5w6vA  密码: 3yb5解压密码；我爱你坦克188感谢坦克188的Dump和投稿。《街头霸王5 街机版》追加「街机模式」以及超多新机能，完整收录「角色季票1」、「角色季票2」内容。󰄼 赞 66 赏󰄯 分享,格斗类,True
8,328,2018-06-02,[5.05]《银魂乱舞》港版 繁体中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1Ub7OcrrQuFQWhmUzRAvcFQ  密码：YsCw含1.06补丁。感谢本站热心网友肥肥的喵提供！再次感谢，大佬奉献很多大作。以后还有大作的，不剧透。󰄼 赞 30 赏󰄯 分享,动作类,True
9,327,2018-06-02,[5.05]《仁王 年度版》中文版,收录了《仁王》游戏本体，及3款DLC。转自：春天花会开666   仁王年度版https://pan.baidu.com/s/1zuX0DfkKHEHWblwo_PPFKQ  密码：ypki 解压：皮皮虾不走了里面有补丁请不要安装补丁补丁有问题从qq群转的，感谢原作者。密码不对的，看置顶帖。,动作类,True
10,325,2018-06-02,《鬼泣 1-3》港版 中文版（已更新）,感谢热心网友fiona投稿。链接:https://pan.baidu.com/s/15b8lpkjmDuiBHrEnYZvVpQ  密码:ywmk,动作类,True
11,324,2018-06-02,《闪乱神乐：沙滩戏水》港版 中文版 v1.03 本体+升级补丁+嘿嘿嘿补丁+DLC,感谢 @wchdsk#2187 制作。感谢<@450972846605336613> 提供的dump文件。您已评论，请查看如下隐藏内容哦！嘿嘿嘿补丁包含已下内容：1.去圣光补丁。2.去喷气背包补丁。DLC包含已下内容：dlc人物+服装+卡牌的解锁，其他太多没有做。请打上升级补丁后使用下载链接: https://pan.baidu.com/s/12JpbxRCtbNXt-UFrzhmqBg  密码: n7iw󰄼 赞 65 赏󰄯 分享,射击类,True
12,323,2018-06-02,异化 港版中文 + 1.06补丁 + 全DLC,原作者：异化看没人做带升级补丁的，自己dump做一个，顺道把包含武器在内的几个DLC也做了，测试几个DLC均正常使用DLC包含武器补充包(渦流手榴彈、毀滅者、崩解者)/装甲颜色包/弹药颜色包/老练英雄包等等您已评论，请查看如下隐藏内容哦！链接: https://pan.baidu.com/s/1UeUzjPaISD4aKowN5M-vxA 密码: ij83解压密码：kangkang000感谢kangkang dump和分享javascript:;赏󰄯 分享,射击类,True
13,322,2018-06-02,《神之战 超越时空》港版 繁体中文版,您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1m1YF2HypNy3ooaZ95gtJEA  密码：TG84感谢本站热心网友 肥肥的喵 Dump，辛苦了。周末手机发帖，先不附图了。晚上发银魂。󰄼 赞 40 赏󰄯 分享,角色扮演,True
14,321,2018-06-02,《假面骑士》繁体中文版,您已评论，请查看如下隐藏内容哦！资源群网友分享链接：https://pan.baidu.com/s/1_hxPjw2wXAUGt1p0dciAYg  密码：ft3t󰄼 赞 34 赏󰄯 分享,格斗类,True
15,320,2018-06-02,《EA SPORTS UFC 3》美版 简体中文版,"您已评论，请查看如下隐藏内容哦！转自论坛：分享者： 金手指資源來自 PSXHAX Malatya 提取 ,純搬運https://pan.baidu.com/s/1Z8XBVwHE8qyKxp1Ew1d8aw󰄼 赞 23 赏󰄯 分享",格斗类,True
16,319,2018-06-02,《NBA 2K18》K18国行 简体中文版（含1.03补丁）,投稿，之前有问题的可以试试这个。投稿自dump NBA2K18国行，带1.03补丁您已评论，请查看如下隐藏内容哦！链接：https://pan.baidu.com/s/1hNJdgXBlDwAeKG2tmITtGw密码：nhca解压密码：NBA2K18国行压缩包里有md5文件。󰄼 赞 48 赏󰄯 分享,体育竞速,True
17,318,2018-06-02,[5.05]《最后的守护者v1.03》中文版,作者： 哈，呵，依！ 505 最后的守护者v1.03_国行中文 含补丁 自dump链接: https://pan.baidu.com/s/1asGuWz4Sm_X7BZZUBZsY0w  密码: kb7d解压密码：说ps4内置不支持3t以上硬盘的别下。,动作类,True
18,317,2018-06-02,[5.05]《泰坦之旅 10周年重制版》中文版,5.05 泰坦之旅 中文 10周年重制版 by gz死神bleach您已评论，请查看如下隐藏内容哦！系统语言设置为简体中文。安装完后进入游戏报系统存档出错，选择修复系统存档即可跳过继续游戏。链接：https://pan.baidu.com/s/1pFP_uhxulN-kT7qOUdV95g  密码：iiqs解压密码：gz死神bleach感谢死神Dump󰄼 赞 38 赏󰄯 分享,动作类,True
